Word,Description
Cinch,a form of all fours in which the players bid for the privilege of naming trumps
Cipro,an oral antibiotic (trade name Cipro) used against serious bacterial infections of the skin or respiratory tract or urinary tract or bones or joints
Circe,(Greek mythology) a sorceress who detained Odysseus on her island and turned his men into swine
Cirio,candlewood of Mexico and southwestern California having tall columnar stems and bearing honey-scented creamy yellow flowers
Cisco,important food fish of cold deep lakes of North America
Cissy,having unsuitable feminine qualities
Civet,cat-like mammal typically secreting musk used in perfumes
Civic,of or relating to or befitting citizens as individuals
Civil,of or in a condition of social order
Clack,a simple valve with a hinge on one side; allows fluid to flow in only one direction
Clade,a group of biological taxa or species that share features inherited from a common ancestor
Claim,demand for something as rightful or due
Clamp,a device (generally used by carpenters) that holds things firmly together
Clams,informal terms for money
Clang,a loud resonant repeating noise
Clank,a loud resonant repeating noise
Clark,Canadian politician who served as prime minister (1939-)
Claro,a cigar made with light-colored tobacco
Clary,aromatic herb of southern Europe; cultivated in Great Britain as a potherb and widely as an ornamental
Clash,a minor short-term fight
Clasp,the act of grasping
Dacca,the capital and largest city of Bangladesh
Dacha,Russian country house
Daddy,an informal term for a father; probably derived from baby talk
Daffo,a Chadic language spoken in northern Nigeria
Dafla,little known Kamarupan languages
Dagan,god of agriculture and earth; counterpart of Phoenician Dagon
Dagda,chief Celtic god of the Tuatha De Danann; father of Angus Og and Brigit
Dagga,relatively nontoxic South African herb smoked like tobacco
Dagon,god of agriculture and the earth; national god of Philistines
Dahna,a desert in southern Saudi Arabia
Daily,appropriate for ordinary or routine occasions
Dairy,a farm where dairy products are produced
Daisy,any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
Dakar,the capital and chief port and largest city of Senegal
Dalea,indigo bush
Dally,consider not very seriously
Damar,any of various hard resins from trees of the family Dipterocarpaceae and of the genus Agathis; especially the amboyna pine
Damon,the friend of Phintias who pledged his life that Phintias would return (4th century BC)
Danau,the 2nd longest European river (after the Volga); flows from southwestern Germany to the Black Sea
Dance,taking a series of rhythmical steps (and movements) in time to music
Dandy,very good
Dante,an Italian poet famous for writing the Divine Comedy that describes a journey through Hell and purgatory and paradise guided by Virgil and his idealized Beatrice (1265-1321)
Daraf,a unit of elastance equal to the reciprocal of a farad
Darky,(ethnic slur) offensive term for Black people
Darpa,the central research and development organization for the United States Department of Defense; responsible for developing new surveillance technologies since 9/11
Darts,a game in which small pointed missiles are thrown at a dartboard
Dated,marked by features of the immediate and usually discounted past
Datum,an item of factual information derived from measurement or research
Daunt,cause to lose courage
David,(Old Testament) the 2nd king of the Israelites; as a young shepherd he fought Goliath (a giant Philistine warrior) and killed him by hitting him in the head with a stone flung from a sling; he united Israel with Jerusalem as its capital; many of the Psalms are attributed to David (circa 1000-962 BC)
Davis,United States film actress (1908-1989)
Davit,a crane-like device (usually one of a pair) for suspending or lowering equipment (as a lifeboat)
Davys,English navigator who explored the Arctic while searching for the Northwest Passage (1550-1605)
Dawah,missionary work for Islam
Dawes,American patriot who rode with Paul Revere to warn that the British were advancing on Lexington and Concord (1745-1799)
Dayan,Israeli general and statesman (1915-1981)
Dazed,in a state of mental numbness especially as resulting from shock
Deary,a special loved one
Death,the act of killing
Debar,prevent from entering; keep out
Debit,an accounting entry acknowledging sums that are owing
Debug,locate and correct errors in a computer program code
Debut,the act of beginning something new
Decaf,coffee with the caffeine removed
Decal,either a design that is fixed to some surface or a paper bearing the design which is to be transferred to the surface
Decay,the organic phenomenon of rotting
Decor,decoration consisting of the layout and furnishings of a livable interior
Decoy,something used to lure fish or other animals into danger so they can be trapped or killed
Decry,express strong disapproval of
Deeds,performance of moral or religious acts
Deere,United States industrialist who manufactured plows suitable for working the prairie soil (1804-1886)
Defat,remove the fat from
Defer,yield to another's wish or opinion
Defoe,English writer remembered particularly for his novel about Robinson Crusoe (1660-1731)
Defog,free from mist
Degas,French impressionist painter (1834-1917)
Deice,make or become free of frost or ice
Deify,exalt to the position of a God
Deign,do something that one considers to be below one's dignity
Deism,the form of theological rationalism that believes in God on the basis of reason without reference to revelation
Deist,of or relating to deism
Deity,any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force
Dekko,British slang for a look
Delay,the act of delaying; inactivity resulting in something being put off until a later time
Delft,a style of glazed earthenware; usually white with blue decoration
Delhi,a city in north central India
Delta,the 4th letter of the Greek alphabet
Delve,"turn up, loosen, or remove earth"
Demob,retire from military service
Demon,an evil supernatural being
Demur,(law) a formal objection to an opponent's pleadings
Deneb,the brightest star in Cygnus
Denim,a coarse durable twill-weave cotton fabric
Dense,slow to learn or understand; lacking intellectual acuity; ; ; - Thackeray
Depot,a depository for goods
Depth,degree of psychological or intellectual profundity
Derby,a felt hat that is round and hard with a narrow brim
Derma,the deep vascular inner layer of the skin
Desex,make infertile
Deter,turn away from by persuasion
Detox,the hospital ward or clinic in which patients are detoxified
Deuce,one of the four playing cards in a deck that have two spots
Devil,a word used in exclamations of confusion
Devon,red dual-purpose cattle of English origin
Dewar,vacuum flask that holds liquid air or helium for scientific experiments
Dewey,United States pragmatic philosopher who advocated progressive education (1859-1952)
Dhaka,the capital and largest city of Bangladesh
Dhava,an Indian tree of the family Combretaceae that is a source of timber and gum
Dhawa,an Indian tree of the family Combretaceae that is a source of timber and gum
Dhole,fierce wild dog of the forests of central and southeast Asia that hunts in packs
Dhoti,a long loincloth worn by Hindu men
Diana,(Roman mythology) virgin goddess of the hunt and the Moon; counterpart of Greek Artemis
Diary,a personal journal (as a physical object)
Diazo,relating to or containing diazonium
Dicer,a mechanical device used for dicing food
Dicey,of uncertain outcome; especially fraught with risk; - New Yorker
Dicky,(British informal) faulty; - John le Carre
Dicot,flowering plant with two cotyledons; the stem grows by deposit on its outside
Digit,a finger or toe in human beings or corresponding body part in other vertebrates
Dijon,an industrial city in eastern France to the north of Lyons
Dildo,a vibrating device that substitutes for an erect penis to provide vaginal stimulation
